code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E07000083,Tewkesbury,394038,227458,E92000001,E12000009,E14000705,,,,15532,21,79,1034,43,206,24174,1520,1088,2489,336,48360
E07000090,Havant,471226,104842,E92000001,E12000008,E14000736,,,,14413,18,624,1555,408,406,31164,2827,1181,3215,557,67840
E07000103,Watford,510556,197803,E92000001,E12000006,E14001021,,,,17899,1547,1872,1636,312,258,19958,1620,996,6181,582,49387
E07000112,Folkestone and Hythe,610024,132599,E92000001,E12000008,E14000704,,,,13770,40,932,1319,256,198,23922,1932,538,4360,552,61939
E07000119,Fylde,339324,432384,E92000001,E12000002,E14000706,,,,11361,31,176,793,159,116,18312,1312,535,2498,423,45658
E07000120,Hyndburn,374414,429238,E92000001,E12000002,E14000758,,,,6309,8,223,960,993,148,21212,2150,267,2976,381,46607
E07000124,Ribble Valley,370849,445761,E92000001,E12000002,E14000894,,,,9005,16,151,246,67,85,17171,938,258,2200,249,31176
E07000136,Boston,532926,343714,E92000001,E12000004,E14000582,,,,3558,27,77,522,166,143,20491,4154,1408,2748,337,36871
E07000138,Lincoln,496573,370718,E92000001,E12000004,E14000792,,,,9451,13,210,1727,459,249,21936,3203,2053,6877,541,57095
E07000139,North Kesteven,504210,354897,E92000001,E12000004,E14000792,,,,15406,26,300,517,96,267,32959,2050,1285,3469,517,61182
E07000140,South Holland,532780,324067,E92000001,E12000004,E14000939,,,,7959,25,138,286,116,198,28900,2723,1484,2997,410,49888
E07000141,South Kesteven,499893,329594,E92000001,E12000004,E14000714,,,,19428,32,416,567,216,258,36422,2605,1259,6419,572,75210
E07000143,Breckland,592273,302678,E92000001,E12000006,E14000816,,,,14404,23,214,732,171,313,39172,3136,1188,5575,711,75838
E07000144,Broadland,623735,316663,E92000001,E12000006,E14000863,,,,18934,30,164,1220,165,394,34889,1961,1422,2716,695,69132
E07000145,Great Yarmouth,647815,311075,E92000001,E12000006,E14000717,,,,6813,20,124,1807,209,257,22863,2488,1276,4314,969,58609
E07000146,Kings Lynn and West Norfolk,566910,317216,E92000001,E12000006,E14000952,,,,14162,49,569,804,171,341,41529,3353,2455,5082,707,85102
E07000148,Norwich,622020,308886,E92000001,E12000006,E14000864,,,,19468,58,321,3096,494,570,24555,2753,4044,9611,751,78202
E07000149,South Norfolk,622377,295780,E92000001,E12000006,E14000816,,,,21339,32,223,1037,108,329,37209,2046,1322,3404,699,74199
E07000163,Craven,388715,464893,E92000001,E12000003,E14000928,,,,8833,14,287,254,63,51,13199,926,217,3061,229,29795
E07000164,Hambleton,444420,488149,E92000001,E12000003,E14000895,,,,13303,18,171,188,82,97,22912,1349,640,4192,451,47286
E07000165,Harrogate,426573,463534,E92000001,E12000003,E14000730,,,,28233,38,503,1383,222,237,36036,2684,1190,8490,669,82982
E07000166,Richmondshire,404370,496225,E92000001,E12000003,E14000895,,,,6700,15,77,196,127,77,13001,906,307,2936,337,25097
E07000167,Ryedale,475009,480011,E92000001,E12000003,E14000993,,,,7609,12,89,175,45,93,13642,843,543,2630,281,28746
E07000169,Selby,457071,432688,E92000001,E12000003,E14000917,,,,14331,8,342,596,72,190,25137,1661,764,2687,338,45864
E07000170,Ashfield,449768,355201,E92000001,E12000004,E14000535,,,,11460,545,258,1724,419,275,35311,3005,841,4070,524,67870
E07000171,Bassetlaw,469431,382275,E92000001,E12000004,E14000546,,,,10741,25,268,694,170,240,33983,3148,1035,4144,468,62889
E07000172,Broxtowe,449657,342283,E92000001,E12000004,E14000535,,,,17302,725,244,1993,176,211,24367,1755,1341,3378,426,59024
E07000173,Gedling,459166,348277,E92000001,E12000004,E14000710,,,,17220,67,173,3572,240,212,28293,1939,747,3229,495,61076
E07000175,Newark and Sherwood,472378,359080,E92000001,E12000004,E14000829,,,,14786,33,287,570,161,207,31794,2547,1687,4522,520,65842
E07000176,Rushcliffe,464834,334124,E92000001,E12000004,E14000908,,,,24680,123,170,1574,128,123,24538,1395,1041,2786,420,62099
E07000177,Cherwell,449860,229130,E92000001,E12000008,E14000539,,,,27343,41,1027,1887,437,345,39508,3353,2156,8135,737,76044
E07000178,Oxford,452441,206500,E92000001,E12000008,E14000874,,,,28427,77,523,6493,417,375,17163,1778,7724,9697,650,88714
E07000179,South Oxfordshire,464397,193175,E92000001,E12000008,E14000742,,,,32709,73,897,1168,81,289,31562,2097,1637,5393,568,72609
E07000180,Vale of White Horse,438787,192976,E92000001,E12000008,E14001015,,,,29239,41,344,1941,103,344,29825,1988,2313,4229,495,68049
E07000181,West Oxfordshire,434067,215553,E92000001,E12000008,E14001046,,,,20629,42,272,1156,57,263,28364,1849,1432,4394,466,55311
E07000187,Mendip,362056,144991,E92000001,E12000009,E14000932,,,,17105,30,125,530,110,229,28823,1918,769,5489,542,60418
E07000188,Sedgemoor,333465,143276,E92000001,E12000009,E14001026,,,,13532,30,204,1483,123,374,33463,2554,1978,4870,538,66196
E07000189,South Somerset,350246,121192,E92000001,E12000009,E14000932,,,,20337,38,145,379,143,448,45716,3288,1341,8412,684,91740
E07000192,Cannock Chase,401418,312745,E92000001,E12000005,E14000618,,,,9529,7,421,591,266,220,31258,2737,432,3035,381,51642
E07000193,East Staffordshire,412763,329519,E92000001,E12000005,E14000610,,,,13235,26,223,748,960,286,32945,3384,1346,5615,550,64701
E07000194,Lichfield,413297,310036,E92000001,E12000005,E14000791,,,,15959,28,514,492,129,158,27712,1822,515,2730,413,55963
E07000195,Newcastle-under-Lyme,378749,344081,E92000001,E12000005,E14000834,,,,13009,12,219,1043,1099,256,32923,3364,606,3748,404,66617
E07000196,South Staffordshire,388140,303026,E92000001,E12000005,E14000945,,,,14069,54,504,622,171,170,30339,1881,364,2088,437,59773
E07000197,Stafford,388230,327866,E92000001,E12000005,E14000975,,,,19775,26,478,678,252,264,35046,2612,1300,4851,484,71101
E07000199,Tamworth,421984,303220,E92000001,E12000005,E14000986,,,,8238,10,337,794,253,179,22401,2382,739,2533,293,40489
E07000200,Babergh,599986,243163,E92000001,E12000006,E14000946,,,,13171,32,347,282,73,184,23542,1407,499,3055,368,49384
E07000203,Mid Suffolk,611211,265459,E92000001,E12000006,E14000624,,,,15527,28,445,171,65,216,28416,1464,757,2495,442,52675
E07000207,Elmbridge,512060,163238,E92000001,E12000008,E14000697,,,,35983,289,2759,685,138,391,20448,1159,1431,3063,634,71774
E07000208,Epsom and Ewell,521188,161461,E92000001,E12000008,E14000694,,,,17930,347,2144,849,169,352,13636,926,659,2537,362,41029
E07000209,Guildford,500446,150851,E92000001,E12000008,E14000719,,,,30814,92,1617,1264,167,359,25794,1846,1187,5886,748,73876
E07000210,Mole Valley,517049,147214,E92000001,E12000008,E14000694,,,,19379,71,1252,292,101,218,16658,1052,450,2480,389,45044
E07000211,Reigate and Banstead,526286,152009,E92000001,E12000008,E14000681,,,,31589,225,2933,1664,382,396,29864,1940,733,4695,706,75719
E07000212,Runnymede,501617,167042,E92000001,E12000008,E14000907,,,,16530,122,1142,492,183,230,18611,1267,705,2759,417,45622
E07000213,Spelthorne,506652,170605,E92000001,E12000008,E14000959,,,,18497,470,1477,1826,144,416,23540,1335,971,2323,543,51417
E07000215,Tandridge,536712,149345,E92000001,E12000008,E14000681,,,,18441,113,1949,610,104,191,17606,1063,192,1920,385,45299
E07000216,Waverley,495682,139877,E92000001,E12000008,E14000719,,,,28929,65,1269,450,73,233,23326,1557,579,3743,498,67507
