code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000111,Sevenoaks,551567,155211,E92000001,E12000008,E14000659,,,,64130,3639,2946,4496,6575,3556,1860,477,366,23775,8695
E07000113,Swale,595988,164044,E92000001,E12000008,E14000700,,,,82474,8371,6864,5859,9022,3807,1584,1796,1570,17587,12740
E07000114,Thanet,632674,166985,E92000001,E12000008,E14000852,,,,81397,8201,10407,6272,2742,3210,709,781,1728,14408,10731
E07000115,Tonbridge and Malling,564511,155282,E92000001,E12000008,E14000626,,,,67775,4803,4826,6659,6854,3207,1725,2098,513,23812,9931
E07000116,Tunbridge Wells,570254,137789,E92000001,E12000008,E14000804,,,,59413,5948,5323,4058,4068,1984,1211,1708,512,23633,7454
E07000117,Burnley,385506,431414,E92000001,E12000002,E14000609,,,,54612,7291,7492,5092,4692,1298,900,359,324,6738,5850
E07000118,Chorley,357265,418497,E92000001,E12000002,E14000637,,,,60488,5585,6679,7009,8412,2480,1481,473,524,16580,8019
E07000121,Lancaster,353328,463919,E92000001,E12000002,E14000776,,,,80533,10066,9487,7808,3502,2570,2309,741,1290,15430,9198
E07000122,Pendle,387886,441045,E92000001,E12000002,E14000875,,,,56134,7013,5656,5008,4699,1723,860,549,344,7461,6310
E07000123,Preston,354185,435253,E92000001,E12000002,E14000706,,,,81204,9913,13642,7130,5440,2590,928,881,706,16614,8790
E07000125,Rossendale,382473,421988,E92000001,E12000002,E14000902,,,,37757,3369,3256,4053,6006,2214,600,266,316,8036,4997
E07000126,South Ribble,353203,425975,E92000001,E12000002,E14000894,,,,56324,5530,8161,8779,4762,2213,1139,571,439,15731,7386
E07000127,West Lancashire,341717,412911,E92000001,E12000002,E14001033,,,,63883,6095,5659,6571,8783,3211,927,586,569,13497,7649
E07000128,Wyre,344008,445536,E92000001,E12000002,E14000572,,,,64111,5355,6295,6105,5910,2008,514,552,768,12479,7849
E07000129,Blaby,452852,297375,E92000001,E12000004,E14000940,,,,51480,3569,6593,8760,5410,1665,816,769,535,15526,7803
E07000130,Charnwood,457739,315833,E92000001,E12000004,E14000625,,,,99172,9411,9467,11568,11684,2974,1066,933,1221,25638,10838
E07000131,Harborough,467383,293977,E92000001,E12000004,E14000940,,,,48854,4361,2408,4890,7269,3412,1154,803,788,17474,6212
E07000132,Hinckley and Bosworth,441354,302271,E92000001,E12000004,E14000583,,,,57754,5652,5111,6108,9419,2721,1040,701,647,16666,7821
E07000133,Melton,477226,322729,E92000001,E12000004,E14000909,,,,26287,3886,1805,1854,3012,2310,805,496,398,7261,3638
E07000134,North West Leicestershire,440239,317453,E92000001,E12000004,E14000858,,,,52744,4923,4986,5269,8516,3455,1329,773,735,14874,7098
E07000135,Oadby and Wigston,461524,299185,E92000001,E12000004,E14000728,,,,31756,2713,4057,5103,1491,688,406,357,385,7477,3312
E07000137,East Lindsey,535540,374440,E92000001,E12000004,E14000582,,,,86719,9354,3248,5070,6968,4471,2646,1856,1300,10993,9672
E07000138,Lincoln,496573,370718,E92000001,E12000004,E14000792,,,,57095,9136,8837,4552,1924,3385,605,949,1167,9451,6712
E07000139,North Kesteven,504210,354897,E92000001,E12000004,E14000792,,,,61182,4736,4960,7709,6687,4813,1446,1255,1542,15406,8338
E07000140,South Holland,532780,324067,E92000001,E12000004,E14000939,,,,49888,5767,6530,3940,7114,4003,1255,691,1003,7959,6972
E07000141,South Kesteven,499893,329594,E92000001,E12000004,E14000714,,,,75210,9925,5534,3580,8680,4921,2751,2018,1622,19428,9733
E07000143,Breckland,592273,302678,E92000001,E12000006,E14000816,,,,75838,8792,3994,4348,10063,6965,2911,1780,1281,14404,11100
E07000144,Broadland,623735,316663,E92000001,E12000006,E14000863,,,,69132,4389,6771,9343,8164,2512,921,517,771,18934,10267
